brand,store_name,lat,lng
"サークルK","藤枝青葉町",34.8424789,138.2366561
"サークルK","新函南柏谷",35.0878952,138.956985
"サークルK","袋井大野",34.6798101,137.942571
"サークルK","沼津北高島町",35.1130798,138.8616997
"サークルK","静岡沓谷五丁目",34.9969704,138.4096286
"サークルK","掛川かみ西郷",34.7972878,138.0124438
"サークルK","牧之原地頭方",34.6309626,138.1870879
"サークルK","蒲郡上本町",34.8330153,137.2293202
"サークルK","富士宮外神",35.2563832,138.6153616
"サークルK","御殿場新橋",35.2923619,138.9349274
"サークルK","浜松有玉西",34.7489632,137.7378018
"サークルK","小坂井町才ノ木",34.7955317,137.3648966
"サークルK","豊川馬場",34.8210056,137.4047872
"サークルK","蒲郡大塚",34.8128844,137.2841086
"サークルK","浜松インター北",34.749892,137.7919053
"サークルK","湖西梅田",34.7288779,137.4870846
"サークルK","豊橋東松山",34.7573012,137.3900443
"サークルK","浜松和地",34.7616574,137.6606106
"サークルK","浜松市野",34.7512036,137.7764595
"サークルK","沼津西間門",35.108492,138.8420816
"サークルK","藤枝上青島",34.8444865,138.2251459
"サークルK","豊川宿",34.8083452,137.3582446
"サークルK","富士船津",35.1496693,138.7678328
"サークルK","清水折戸",34.9852503,138.50815
"サークルK","浜松和田西",34.7171811,137.7695446
"サークルK","藤枝与左衛門",34.8350102,138.266337
"サークルK","富士まつもと",35.1686342,138.6485959
"サークルK","浜松篠原",34.6856048,137.6709543
"サークルK","浜松可美公園前",34.687629,137.6993218
"サークルK","豊橋天伯町",34.6984339,137.414981
"サークルK","田原赤石",34.664508,137.2676827
"サークルK","田原古田町",34.6265812,137.1069068
"サークルK","豊川八幡町",34.8380195,137.3313695
"サークルK","浜松西浅田北",34.691935,137.7253055
"サークルK","清水楠新田",35.0082348,138.4450551
"サークルK","磐田竜洋中島",34.706113,137.8096968
"サークルK","富士宮大岩",35.2439858,138.6283921
"サークルK","豊橋賀茂町",34.8387693,137.4360467
"サークルK","牧之原波津",34.684256,138.193367
"サークルK","御殿場駒門",35.2549086,138.9129119
"サークルK","蒲原バイパス",35.1177402,138.6230293
"サークルK","焼津港",34.8674477,138.3247256
"サークルK","蒲郡諏訪東",34.8189353,137.2565656
"サークルK","静岡富士見台",34.963531,138.4124639
"サークルK","豊橋西幸町",34.7302465,137.4122077
"サークルK","新城名号",34.9974032,137.6593779
"サークルK","浜松北初生",34.7684797,137.7170686
"サークルK","豊橋西口町",34.7430172,137.4173267
"サークルK","静岡東町",34.9765943,138.3965576
"サークルK","三ヶ日インター",34.7916949,137.5830797
"サークルK","三島松本",35.0878445,138.9187641
"サークルK","御前崎池新田",34.6515472,138.1186917
"サークルK","浜松下飯田",34.7017449,137.7760108
"サークルK","大井川利右衛門",34.7870377,138.2906542
"サークルK","掛川横須賀",34.6816066,137.9791929
"サークルK","豊橋中浜",34.7413836,137.3728525
"サークルK","豊橋中原町",34.7240822,137.4763207
